,date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
0,Nacional 1976 - Grupo C,1,All Boys,2,0,Aldosivi,0
1,Nacional 1976 - Grupo C,0,Aldosivi,4,0,All Boys,1
2,Superliga 2019/20 - Fecha 2,0,Aldosivi,0,0,Argentinos,7
3,Superliga 2018/19 - Fecha 15,7,Argentinos,1,2,Aldosivi,0
4,Torneo 2016 - Fecha 2,0,Aldosivi,3,2,Argentinos,7
5,Campeonato 2015 - Fecha 11,7,Argentinos,0,1,Aldosivi,0
6,Nacional 1975 - Grupo B,7,Argentinos,1,1,Aldosivi,0
7,Nacional 1975 - Grupo B,0,Aldosivi,3,4,Argentinos,7
8,Superliga 2019/20 - Fecha 23,8,Arsenal,4,0,Aldosivi,0
9,Campeonato 2016/17 - Fecha 17,0,Aldosivi,2,1,Arsenal,8
10,Campeonato 2015 - Fecha 7,8,Arsenal,0,3,Aldosivi,0
11,Campeonato 2016/17 - Fecha 15,0,Aldosivi,1,0,Atl Rafaela,10
12,Torneo 2016 - Fecha 15,0,Aldosivi,2,1,Atl Rafaela,10
13,Campeonato 2015 - Fecha 19,10,Atl Rafaela,2,1,Aldosivi,0
14,Superliga 2019/20 - Fecha 4,0,Aldosivi,3,0,Atl Tucuman,11
15,Superliga 2018/19 - Fecha 24,11,Atl Tucuman,1,0,Aldosivi,0
16,Campeonato 2016/17 - Fecha 16,11,Atl Tucuman,0,0,Aldosivi,0
17,Torneo 2016 - Fecha 7,11,Atl Tucuman,1,1,Aldosivi,0
18,Nacional 1975 - Grupo B,11,Atl Tucuman,3,2,Aldosivi,0
19,Nacional 1975 - Grupo B,0,Aldosivi,1,3,Atl Tucuman,11
20,Superliga 2019/20 - Fecha 21,14,Banfield,0,1,Aldosivi,0
21,Superliga 2018/19 - Fecha 11,0,Aldosivi,1,4,Banfield,14
22,Campeonato 2016/17 - Fecha 3,0,Aldosivi,1,3,Banfield,14
